"case","configuration","n","reward_mean","reward_sd","reward_values","cost_mean","cost_sd","cost_values","energy_kwh_mean","energy_kwh_sd","energy_kwh_values","zone_h_mean","zone_h_sd","zone_h_values","pmv_h_mean","pmv_h_sd","pmv_h_values","occupied_peak_abs_pmv_mean","occupied_peak_abs_pmv_sd","occupied_peak_abs_pmv_values","tv_c_mean","tv_c_sd","tv_c_values","reversals_mean","reversals_sd","reversals_values","v_state_c_mean","v_state_c_sd","v_state_c_values","r_int_fraction_mean","r_int_fraction_sd","r_int_fraction_values","total_ktokens_per_control_hour_mean","total_ktokens_per_control_hour_sd","total_ktokens_per_control_hour_values","effective_llm_latency_s_per_control_hour_mean","effective_llm_latency_s_per_control_hour_sd","effective_llm_latency_s_per_control_hour_values","api_cost_usd_per_run_mean","api_cost_usd_per_run_sd","api_cost_usd_per_run_values","retries_per_control_hour_mean","retries_per_control_hour_sd","retries_per_control_hour_values","fallbacks_per_control_hour_mean","fallbacks_per_control_hour_sd","fallbacks_per_control_hour_values","peak_pmv_exceedance_count"
"SZ_Air","STANDARD","3","-629.6562203708874","2.6478717198737027","-632.202187557|-626.91702978|-629.849443775","5.2153123700053134","0.017582970175658692","5.22975375859|5.19573264816|5.22045070326","54.02194029754545","0.3352266469036485","54.385068883|53.7242720531|53.9564799565","1.0833333333333333","0.14433756729740643","1|1|1.25","0.019166666666666676","0.009464847243000448","0.03|0.015|0.0125","0.5333333333333333","0.032145502536643146","0.57|0.52|0.51","77.60000000000004","5.436910887627271","83.6|73|76.2","55.666666666666664","16.165807537309522","53|41|73","0.02405024683484482","0.011128023583580466","0.0368396577381|0.0187307787698|0.0165803039966","0.001488095238095238","0.001488095238095238","0|0.0014880952381|0.00297619047619","15.559349206349205","0.17933157222100288","15.4166071429|15.5008035714|15.7606369048","47.54807879027907","4.93756760897266","50.8360414827|49.9378983679|41.8702965202","0.5247009600000001","0.005769854119230409","0.5210576|0.52169194|0.53135334","0.001984126984126984","0.0034366087451763437","0|0|0.00595238095238","0.1706349206349206","0.05657371995787005","0.172619047619|0.113095238095|0.22619047619","0"
"SZ_Air","B1_WM0","3","-702.0563878780976","36.45447434190458","-726.876371967|-719.089646197|-660.203145471","5.531084959355837","0.18420478528307352","5.57711225559|5.6879115707|5.32823105178","57.29252434791317","1.4936647809892294","57.9017045983|58.3853278841|55.5905405613","8.583333333333334","3.185252475602732","12.25|7|6.5","0.4791666666666667","0.2622300198934769","0.7625|0.43|0.245","0.7066666666666667","0.032145502536643146","0.67|0.72|0.73","90.74666666666674","2.9258389110361596","93|91.8|87.44","61.0","19.697715603592208","67|39|77","0.023156651549508897","0.01604268519302438","0.0394256660998|0.0226939838435|0.00735030470522","0.002976190476190476","0.001488095238095238","0.00297619047619|0.00446428571429|0.0014880952381","12.280446428571429","0.09587859697108073","12.2457678571|12.2067321429|12.3888392857","53.59815068710392","14.737511672197625","62.3864471631|61.8241702006|36.5838346976","0.43003618000000005","0.005553069608639871","0.4262377|0.42746158|0.43640926","0.001984126984126984","0.0034366087451763437","0|0.00595238095238|0","0.1706349206349206","0.04507070115714503","0.190476190476|0.119047619048|0.202380952381","2"
"SZ_Air","B2_WM2","3","-628.902488894945","4.809860740186548","-634.309807715|-627.296753763|-625.100905206","5.207184512084823","0.04651405063245868","5.26040770486|5.18681997252|5.17432585887","53.93204062125332","1.0207261083383106","55.0746686893|53.6110915445|53.11036163","1.5833333333333333","1.6645820296198481","0.5|0.75|3.5","0.033333333333333354","0.028759056544562355","0.005|0.0325|0.0625","0.54","0.03605551275463986","0.51|0.58|0.53","68.95333333333336","7.752066391184541","60.16|74.8|71.9","60.0","13.076696830622021","69|45|66","0.03527875212585094","0.035084983124384364","0.0746309878118|0.0072655364229|0.0239397321429","0.001488095238095238","0.001488095238095238","0.0014880952381|0|0.00297619047619","17.977680555555555","0.2834857068475698","18.0499166667|18.2180595238|17.6650654762","44.844711250001446","12.896445676583108","45.6266876482|57.3323757667|31.5750703351","0.5726159600000001","0.015347800132800826","0.57429078|0.58705766|0.55649944","0.0","0.0","0|0|0","0.16468253968253968","0.009092412093166344","0.154761904762|0.166666666667|0.172619047619","0"
"SZ_Air","B3_WM3","3","-628.4688480238995","2.179132159146301","-626.11980955|-630.424475866|-628.862258655","5.200945904394058","0.012377393392414948","5.18728169345|5.20414939146|5.21140662828","54.06996935752775","0.5528867418792671","53.7631684514|53.7385103956|54.7082292256","3.9166666666666665","3.761094698798919","1.5|8.25|2","0.05750000000000005","0.058470077817632554","0.0225|0.125|0.025","0.5366666666666667","0.011547005383792526","0.53|0.55|0.53","76.58000000000003","6.592207521005369","77.44|82.7|69.6","57.0","24.24871130596428","43|43|85","0.04904177295918499","0.021073506681848105","0.0402446499433|0.0730885062358|0.0337921626984","0.000992063492063492","0.0017183043725881718","0|0.00297619047619|0","20.652200396825396","0.13492851527815172","20.6999642857|20.4998869048|20.75675","42.27622967043596","5.165152627249872","48.162456803|40.1656119125|38.5006202958","0.6359154666666668","0.002259964960819837","0.63658546|0.63339626|0.63776468","0.005952380952380952","0.010309826235529031","0.0178571428571|0|0","0.1884920634920635","0.0068732174903526795","0.184523809524|0.196428571429|0.184523809524","0"
"SZ_Air","B4_CausalOff","3","-624.0728787596989","2.66596066858055","-622.27748287|-627.136162419|-622.804990991","5.17053529523919","0.022177056009099277","5.15641107118|5.19609609734|5.1590987172","54.01798579233312","0.3275663575129982","53.7181071024|54.3675605477|53.9682897269","1.6666666666666667","0.8036375634160796","2|0.75|2.25","0.027500000000000024","0.009013878188659981","0.03|0.0175|0.035","0.53","0.010000000000000009","0.53|0.54|0.52","69.76000000000005","4.607255148133211","64.82|70.52|73.94","63.0","5.291502622129181","65|57|67","0.015314743953135887","0.0031560028061726306","0.0172204506803|0.0170519770408|0.0116718041383","0.003472222222222222","0.003744957557177951","0.00744047619048|0.00297619047619|0","14.365218253968253","0.11163075342850794","14.4276369048|14.2363392857|14.4316785714","50.9448657628964","6.950398685358922","49.6860775369|58.4386339214|44.7098858304","0.47998272000000003","0.004227608164955684","0.48415052|0.47569774|0.4800999","0.003968253968253968","0.0034366087451763437","0.00595238095238|0.00595238095238|0","0.15674603174603174","0.01818482418633269","0.172619047619|0.160714285714|0.136904761905","0"
"SZ_Air","B5_MissingSolarZoneEdge","3","-646.5481459975889","10.277893031455337","-638.352062469|-643.212935024|-658.0794405","5.290652757389966","0.03679699454779933","5.29330784614|5.32605029553|5.2526001305","55.146848890325636","0.7565253206764199","55.4028945766|55.7421247516|54.2955273428","0.5833333333333334","0.5204164998665332","0|0.75|1","0.05916666666666667","0.07795564978456232","0|0.03|0.1475","0.6133333333333334","0.14742229591663988","0.5|0.56|0.78","62.660000000000025","4.4448622025884985","66.98|58.1|62.9","45.666666666666664","21.571586249817916","61|55|21","0.027386768943688137","0.004517130241618991","0.0318148561508|0.0227855725624|0.0275598781179","0.001488095238095238","0.001488095238095238","0|0.0014880952381|0.00297619047619","15.68401388888889","0.40072172100791703","16.1461666667|15.4726607143|15.4332142857","58.50584207996073","9.903073374800801","64.5099292524|63.9319694214|47.0756275661","0.5306944533333334","0.014907419394171957","0.54786942|0.5211087|0.52310524","0.007936507936507936","0.006873217490352687","0.0119047619048|0.0119047619048|0","0.19246031746031744","0.01718304372588172","0.202380952381|0.202380952381|0.172619047619","1"
"SZ_Air","B6_EdgeTiming","3","-628.5934829981234","3.0689246756776387","-631.427689617|-629.018593927|-625.334165451","5.201591491146416","0.031071772435065953","5.23635314522|5.19190323174|5.17651809648","53.864373926408945","0.5912598223633554","54.5276577799|53.6728357999|53.3926281995","3.5833333333333335","4.5848482344929735","0|8.75|2","0.06333333333333338","0.07255744850346751","0|0.1425|0.0475","0.5333333333333333","0.03511884584284244","0.5|0.57|0.53","67.70000000000003","3.988734135035822","63.1|69.8|70.2","49.666666666666664","7.023769168568492","57|43|49","0.02004573530801209","0.014475474674094909","0.035459626559|0.0179377480159|0.00673983134921","0.003472222222222222","0.0022731030232915873","0.00595238095238|0.00297619047619|0.0014880952381","15.538119047619048","0.3373587215325067","15.1634880952|15.8178988095|15.6329702381","59.67594807023752","15.381016440767995","64.9277368292|71.7432392839|42.3568680976","0.5187088666666667","0.0155323947164928","0.50133846|0.5312615|0.52352664","0.001984126984126984","0.0034366087451763437","0.00595238095238|0|0","0.13095238095238096","0.039032372168464294","0.0952380952381|0.172619047619|0.125","0"
"SZ_Air","B7_CoordOff","3","-642.6036393411405","26.716141536556954","-673.377724657|-625.354078679|-629.079114687","5.226280102050726","0.05401913294763825","5.28632646994|5.18163187103|5.21088196519","54.679191436201414","1.27479815543475","56.1222886438|53.7062205301|54.2090651347","2.3333333333333335","0.7637626158259734","2.5|3|1.5","0.12833333333333338","0.17039170558842745","0.325|0.035|0.025","0.5733333333333334","0.06806859285554046","0.65|0.52|0.55","67.82000000000006","4.879877047631443","62.3|71.56|69.6","73.33333333333333","19.5021366350801","54|73|93","0.016542717781556335","0.01574523645232593","0.034516723356|0.00518636621315|0.00992506377551","0.005952380952380952","0.005365403683726174","0.00744047619048|0.0104166666667|0","10.345138888888888","0.09368565333939334","10.45325|10.2877678571|10.2943988095","31.262750389880484","6.197607162623135","36.5389505655|32.8117278417|24.4375727625","0.33689436666666667","0.005811437175822632","0.34337142|0.33517526|0.33213642","0.003968253968253968","0.0034366087451763437","0.00595238095238|0.00595238095238|0","0.11507936507936507","0.03278315801956014","0.136904761905|0.130952380952|0.077380952381","0"
"SZ_Air","B8_NoThinking","3","-663.4936985860785","14.899059770306838","-671.602435109|-646.29900019|-672.579660459","5.43373548621524","0.06583879449403299","5.47828452257|5.35811038809|5.46481154798","56.595684832722746","0.4678088324450799","56.8748848423|56.0556093359|56.85656032","2.75","2.883140648667699","2.5|0|5.75","0.1583333333333333","0.14773991787371935","0.1825|0|0.2925","0.5499999999999999","0.04358898943540671","0.58|0.5|0.57","82.60000000000002","7.208328516376043","83|75.2|89.6","49.0","15.874507866387544","43|37|67","0.008653539540816326","0.005312370327991585","0.0146524234694|0.00454444798753|0.00676374716553","0.0","0.0","0|0|0","9.12959523809524","0.2075984508985462","8.99135119048|9.36831547619|9.02911904762","8.164660088293767","1.5997118948595472","9.98599476726|7.52070071071|6.9872847869","0.22621027333333332","0.006601955984292329","0.22185996|0.23380686|0.222964","0.005952380952380952","0.010309826235529031","0.0178571428571|0|0","0.2916666666666667","0.010309826235529026","0.297619047619|0.279761904762|0.297619047619","0"
"MZ_Hydro","STANDARD","3","-175.1181457729559","3.725365745885963","-179.329794787|-172.254126449|-173.770516083","113.70737152608172","1.922648552729237","115.814272934|113.259975522|112.047866122","743.4908569301647","12.806558360053472","757.294558891|741.182620666|731.995391233","5.166666666666667","1.1814539065631522","4.75|4.25|6.5","0.17416666666666672","0.05795112883571238","0.2025|0.1075|0.2125","0.5866666666666666","0.01527525231651948","0.59|0.57|0.6","93.3133333333334","21.359085498525804","94.6|71.34|114","94.33333333333333","18.610033136277146","92|77|114","0.030177430555554413","0.0030310189919689943","0.0321623263889|0.0266885416667|0.0316814236111","0.0024305555555555556","0.0021684020827772215","0.00416666666667|0.003125|0","26.510786111111113","0.2991282707874008","26.7204666667|26.64365|26.1682416667","67.50856854388871","19.25588812172992","68.4570492342|86.2726887225|47.795967675","0.6475728466666667","0.00847971054506776","0.6544846|0.65012332|0.63811062","0.011111111111111112","0.009622504486493762","0|0.0166666666667|0.0166666666667","0.13055555555555556","0.02678791878053598","0.15|0.1|0.141666666667","0"
