"repeat","case","configuration","evaluation_hours","zones","source_commit","reward","cost","energy_kwh","zone_h","pmv_h","occupied_peak_abs_pmv","tv_c","reversals","v_state_c","r_int_fraction","retries_per_control_hour","retried_logical_call_count","additional_request_attempt_count","orchestrator_fallback_count","policy_adapter_fallback_count","reflector_fallback_count","agent_fallback_count","fallbacks_per_control_hour","prompt_tokens","completion_tokens","total_tokens","cached_prompt_tokens","logical_calls_checked","total_ktokens_per_control_hour","effective_llm_latency_s_per_control_hour","api_cost_usd_per_run"
"R01","SZ_Air","STANDARD","168","1","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-632.2021875573591","5.229753758592649","54.38506888301168","1.0","0.03","0.57","83.60000000000002","53.0","0.03683965773809511","0.0","0.0","0","0","5","5","19","29","0.17261904761904762","1458140","1131850","2589990","0","504","15.416607142857144","50.836041482738956","0.5210576000000001"
"R02","SZ_Air","STANDARD","168","1","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-626.9170297803405","5.195732648162915","53.72427205308271","1.0","0.015000000000000013","0.52","73.00000000000001","41.0","0.018730778769841788","0.001488095238095238","0.0","0","0","5","3","11","19","0.1130952380952381","1481899","1122236","2604135","0","504","15.500803571428571","49.93789836785783","0.5216919400000001"
"R03","SZ_Air","STANDARD","168","1","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-629.8494437749624","5.220450703260377","53.95647995654196","1.25","0.012500000000000011","0.51","76.20000000000007","73.0","0.01658030399659756","0.002976190476190476","0.005952380952380952","1","1","8","5","25","38","0.2261904761904762","1500193","1147594","2647787","0","504","15.760636904761904","41.87029652024042","0.5313533400000001"
"R01","SZ_Air","B1_WM0","168","1","1058f958438e40e23bbbdcd85a2d4603ce652a1d","-726.876371966507","5.577112255585592","57.90170459830431","12.25","0.7625","0.67","93.00000000000006","67.0","0.03942566609977341","0.002976190476190476","0.0","0","0","2","2","28","32","0.19047619047619047","1070023","987266","2057289","0","504","12.245767857142857","62.38644716309708","0.42623770000000005"
"R02","SZ_Air","B1_WM0","168","1","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-719.0896461968011","5.687911570700618","58.38532788409855","7.0","0.4299999999999999","0.72","91.80000000000007","39.0","0.022693983843537664","0.004464285714285714","0.005952380952380952","1","1","3","1","16","20","0.11904761904761904","1048165","1002566","2050731","0","504","12.206732142857144","61.82417020059525","0.42746158000000006"
"R03","SZ_Air","B1_WM0","168","1","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-660.2031454709844","5.3282310517813025","55.59054056133666","6.5","0.24500000000000013","0.73","87.44000000000008","77.0","0.007350304705215616","0.001488095238095238","0.0","0","0","3","4","27","34","0.20238095238095238","1045441","1035884","2081325","0","504","12.388839285714287","36.5838346976194","0.43640926"
"R01","SZ_Air","B2_WM2","168","1","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-634.3098077152753","5.260407704864428","55.07466868929769","0.5","0.0050000000000000044","0.51","60.16000000000005","69.0","0.07463098781179395","0.001488095238095238","0.0","0","0","3","7","16","26","0.15476190476190477","1962695","1069691","3032386","0","504","18.049916666666668","45.62668764821434","0.57429078"
"R02","SZ_Air","B2_WM2","168","1","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-627.2967537633458","5.18681997252186","53.611091544506266","0.75","0.0325","0.58","74.79999999999998","45.0","0.0072655364229025805","0.0","0.0","0","0","3","5","20","28","0.16666666666666666","1927999","1132635","3060634","0","504","18.218059523809522","57.33237576666995","0.5870576600000001"
"R03","SZ_Air","B2_WM2","168","1","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-625.100905206214","5.174325858868183","53.11036162995602","3.5","0.06250000000000006","0.53","71.90000000000005","66.0","0.023939732142856288","0.002976190476190476","0.0","0","0","6","5","18","29","0.17261904761904762","1960466","1007265","2967731","0","504","17.665065476190478","31.57507033512004","0.5564994400000001"
"R01","SZ_Air","B3_WM3","168","1","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-626.1198095501179","5.187281693445178","53.76316845140783","1.5","0.02250000000000002","0.53","77.44","43.0","0.04024464994331332","0.0","0.017857142857142856","3","3","7","6","18","31","0.18452380952380953","2408149","1069445","3477594","0","504","20.699964285714287","48.162456802976315","0.63658546"
"R02","SZ_Air","B3_WM3","168","1","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-630.4244758662646","5.20414939146076","53.738510395551884","8.25","0.1250000000000001","0.55","82.70000000000002","43.0","0.07308850623582777","0.002976190476190476","0.0","0","0","0","8","25","33","0.19642857142857142","2363703","1080278","3443981","0","504","20.499886904761905","40.16561191250089","0.63339626"
"R03","SZ_Air","B3_WM3","168","1","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-628.8622586553158","5.211406628276237","54.70822922562351","2.0","0.025000000000000022","0.53","69.60000000000005","85.0","0.0337921626984139","0.0","0.0","0","0","3","7","21","31","0.18452380952380953","2418806","1068328","3487134","0","504","20.75675","38.500620295830664","0.6377646800000001"
"R01","SZ_Air","B4_CausalOff","168","1","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-622.2774828697794","5.156411071175959","53.71810710240567","2.0","0.030000000000000027","0.53","64.82000000000005","65.0","0.01722045068027135","0.00744047619047619","0.005952380952380952","1","1","1","6","22","29","0.17261904761904762","1389468","1034375","2423843","0","504","14.427636904761904","49.686077536904726","0.48415052000000003"
