"case","method","metric","n","mean","sample_sd","values"
"SZ_Air","RBC","total_cost","1","5.942863614401944","","[5.942863614401944]"
"SZ_Air","RBC","energy_kwh","1","60.809303524631","","[60.809303524631]"
"SZ_Air","RBC","discomfort_zone_hours","1","0.0","","[0.0]"
"SZ_Air","RBC","discomfort_pmv_hours","1","0.0","","[0.0]"
"SZ_Air","RBC","occupied_peak_absolute_pmv","1","0.18","","[0.18]"
"SZ_Air","RBC","total_variation_c","1","70.0","","[70.0]"
"SZ_Air","RBC","direction_reversals","1","13.0","","[13]"
"SZ_Air","RBC","reward","1","-716.5813691312875","","[-716.5813691312875]"
"SZ_Air","eRBC","total_cost","1","5.31073840377047","","[5.31073840377047]"
"SZ_Air","eRBC","energy_kwh","1","55.25554708830228","","[55.25554708830228]"
"SZ_Air","eRBC","discomfort_zone_hours","1","0.0","","[0.0]"
"SZ_Air","eRBC","discomfort_pmv_hours","1","0.0","","[0.0]"
"SZ_Air","eRBC","occupied_peak_absolute_pmv","1","0.39","","[0.39]"
"SZ_Air","eRBC","total_variation_c","1","70.0","","[70.0]"
"SZ_Air","eRBC","direction_reversals","1","13.0","","[13]"
"SZ_Air","eRBC","reward","1","-640.504177761107","","[-640.504177761107]"
"SZ_Air","MPC","total_cost","3","5.453055211330401","0.0","[5.453055211330401, 5.453055211330401, 5.453055211330401]"
"SZ_Air","MPC","energy_kwh","3","55.417636322578026","0.0","[55.417636322578026, 55.417636322578026, 55.417636322578026]"
"SZ_Air","MPC","discomfort_zone_hours","3","0.5","0.0","[0.5, 0.5, 0.5]"
"SZ_Air","MPC","discomfort_pmv_hours","3","0.012500000000000011","0.0","[0.012500000000000011, 0.012500000000000011, 0.012500000000000011]"
"SZ_Air","MPC","occupied_peak_absolute_pmv","3","0.53","0.0","[0.53, 0.53, 0.53]"
"SZ_Air","MPC","total_variation_c","3","103.36390291863931","0.0","[103.36390291863931, 103.36390291863931, 103.36390291863931]"
"SZ_Air","MPC","direction_reversals","3","173.0","0.0","[173, 173, 173]"
"SZ_Air","MPC","reward","3","-658.4923463949161","0.0","[-658.4923463949161, -658.4923463949161, -658.4923463949161]"
"SZ_Air","PPO","total_cost","3","5.208678060736635","0.0786732401355773","[5.126577616131961, 5.216051637418955, 5.283404928658991]"
"SZ_Air","PPO","energy_kwh","3","56.074476126453085","1.4888774733099936","[55.206123977772066, 55.223650434280906, 57.79365396730629]"
"SZ_Air","PPO","discomfort_zone_hours","3","7.416666666666667","5.575242894559244","[13.75, 3.25, 5.25]"
"SZ_Air","PPO","discomfort_pmv_hours","3","0.15250000000000014","0.12417225938187655","[0.29500000000000026, 0.06750000000000006, 0.09500000000000008]"
"SZ_Air","PPO","occupied_peak_absolute_pmv","3","0.5466666666666667","0.011547005383792525","[0.56, 0.54, 0.54]"
"SZ_Air","PPO","total_variation_c","3","101.55057764301698","28.439840376301767","[120.88836193084717, 114.86781381070614, 68.89555718749762]"
"SZ_Air","PPO","direction_reversals","3","99.0","11.135528725660043","[111, 89, 97]"
"SZ_Air","PPO","reward","3","-631.9429412713577","6.485211721241219","[-625.8686630568415, -631.1872807267999, -638.7728800304317]"
"SZ_Air","Ours","total_cost","3","5.2153123700053134","0.017582970175658692","[5.229753758592649, 5.195732648162915, 5.220450703260377]"
"SZ_Air","Ours","energy_kwh","3","54.02194029754545","0.3352266469036485","[54.38506888301168, 53.72427205308271, 53.95647995654196]"
"SZ_Air","Ours","discomfort_zone_hours","3","1.0833333333333333","0.14433756729740646","[1.0, 1.0, 1.25]"
"SZ_Air","Ours","discomfort_pmv_hours","3","0.019166666666666676","0.009464847243000448","[0.03, 0.015000000000000013, 0.012500000000000011]"
"SZ_Air","Ours","occupied_peak_absolute_pmv","3","0.5333333333333333","0.032145502536643146","[0.57, 0.52, 0.51]"
"SZ_Air","Ours","total_variation_c","3","77.60000000000004","5.436910887627271","[83.60000000000002, 73.00000000000001, 76.20000000000007]"
"SZ_Air","Ours","direction_reversals","3","55.666666666666664","16.165807537309522","[53, 41, 73]"
"SZ_Air","Ours","reward","3","-629.6562203708874","2.6478717198737027","[-632.2021875573591, -626.9170297803405, -629.8494437749624]"
"MZ_Hydro","RBC","total_cost","1","177.38258213236267","","[177.38258213236267]"
"MZ_Hydro","RBC","energy_kwh","1","1151.6762614851054","","[1151.6762614851054]"
"MZ_Hydro","RBC","discomfort_zone_hours","1","0.0","","[0.0]"
"MZ_Hydro","RBC","discomfort_pmv_hours","1","0.0","","[0.0]"
"MZ_Hydro","RBC","occupied_peak_absolute_pmv","1","0.19","","[0.19]"
"MZ_Hydro","RBC","total_variation_c","1","100.0","","[100.0]"
"MZ_Hydro","RBC","direction_reversals","1","18.0","","[18]"
"MZ_Hydro","RBC","reward","1","-267.039670448544","","[-267.039670448544]"
"MZ_Hydro","eRBC","total_cost","1","118.92207893149428","","[118.92207893149428]"
"MZ_Hydro","eRBC","energy_kwh","1","778.3263692090309","","[778.3263692090309]"
"MZ_Hydro","eRBC","discomfort_zone_hours","1","0.0","","[0.0]"
"MZ_Hydro","eRBC","discomfort_pmv_hours","1","0.0","","[0.0]"
"MZ_Hydro","eRBC","occupied_peak_absolute_pmv","1","0.47","","[0.47]"
"MZ_Hydro","eRBC","total_variation_c","1","100.6","","[100.6]"
"MZ_Hydro","eRBC","direction_reversals","1","20.0","","[20]"
"MZ_Hydro","eRBC","reward","1","-179.35418363224142","","[-179.35418363224142]"
"MZ_Hydro","MPC","total_cost","3","120.88428971150756","0.0","[120.88428971150756, 120.88428971150756, 120.88428971150756]"
"MZ_Hydro","MPC","energy_kwh","3","786.1538187143229","1.3923737144427707e-13","[786.153818714323, 786.153818714323, 786.153818714323]"
"MZ_Hydro","MPC","discomfort_zone_hours","3","0.0","0.0","[0.0, 0.0, 0.0]"
"MZ_Hydro","MPC","discomfort_pmv_hours","3","0.0","0.0","[0.0, 0.0, 0.0]"
"MZ_Hydro","MPC","occupied_peak_absolute_pmv","3","0.48","0.0","[0.48, 0.48, 0.48]"
"MZ_Hydro","MPC","total_variation_c","3","81.9313336770355","0.0","[81.9313336770355, 81.9313336770355, 81.9313336770355]"
"MZ_Hydro","MPC","direction_reversals","3","272.0","0.0","[272, 272, 272]"
"MZ_Hydro","MPC","reward","3","-182.0457896286624","0.0","[-182.0457896286624, -182.0457896286624, -182.0457896286624]"
