case,hour,category,count,denominator,fraction
SZ_Air,1,set_param,0,3,0.0
SZ_Air,1,add_rule,0,3,0.0
SZ_Air,1,replace_rule,0,3,0.0
SZ_Air,1,remove_rule,0,3,0.0
SZ_Air,1,move_rule,0,3,0.0
SZ_Air,1,explicit_no_change,3,3,1.0
SZ_Air,1,deterministic_rejection,0,3,0.0
SZ_Air,1,schema_fallback,0,3,0.0
SZ_Air,2,set_param,0,3,0.0
SZ_Air,2,add_rule,0,3,0.0
SZ_Air,2,replace_rule,0,3,0.0
SZ_Air,2,remove_rule,0,3,0.0
SZ_Air,2,move_rule,0,3,0.0
SZ_Air,2,explicit_no_change,3,3,1.0
SZ_Air,2,deterministic_rejection,0,3,0.0
SZ_Air,2,schema_fallback,0,3,0.0
SZ_Air,3,set_param,0,3,0.0
SZ_Air,3,add_rule,0,3,0.0
SZ_Air,3,replace_rule,0,3,0.0
SZ_Air,3,remove_rule,0,3,0.0
SZ_Air,3,move_rule,0,3,0.0
SZ_Air,3,explicit_no_change,3,3,1.0
SZ_Air,3,deterministic_rejection,0,3,0.0
SZ_Air,3,schema_fallback,0,3,0.0
SZ_Air,4,set_param,0,3,0.0
SZ_Air,4,add_rule,0,3,0.0
SZ_Air,4,replace_rule,0,3,0.0
SZ_Air,4,remove_rule,0,3,0.0
SZ_Air,4,move_rule,0,3,0.0
SZ_Air,4,explicit_no_change,3,3,1.0
SZ_Air,4,deterministic_rejection,0,3,0.0
SZ_Air,4,schema_fallback,0,3,0.0
SZ_Air,5,set_param,0,3,0.0
SZ_Air,5,add_rule,0,3,0.0
SZ_Air,5,replace_rule,0,3,0.0
SZ_Air,5,remove_rule,0,3,0.0
SZ_Air,5,move_rule,0,3,0.0
SZ_Air,5,explicit_no_change,3,3,1.0
SZ_Air,5,deterministic_rejection,0,3,0.0
SZ_Air,5,schema_fallback,0,3,0.0
SZ_Air,6,set_param,0,3,0.0
SZ_Air,6,add_rule,0,3,0.0
SZ_Air,6,replace_rule,0,3,0.0
SZ_Air,6,remove_rule,0,3,0.0
SZ_Air,6,move_rule,0,3,0.0
SZ_Air,6,explicit_no_change,3,3,1.0
SZ_Air,6,deterministic_rejection,0,3,0.0
SZ_Air,6,schema_fallback,0,3,0.0
SZ_Air,7,set_param,0,3,0.0
SZ_Air,7,add_rule,0,3,0.0
SZ_Air,7,replace_rule,0,3,0.0
SZ_Air,7,remove_rule,0,3,0.0
SZ_Air,7,move_rule,0,3,0.0
SZ_Air,7,explicit_no_change,3,3,1.0
SZ_Air,7,deterministic_rejection,0,3,0.0
SZ_Air,7,schema_fallback,0,3,0.0
SZ_Air,8,set_param,2,3,0.6666666666666666
SZ_Air,8,add_rule,0,3,0.0
SZ_Air,8,replace_rule,0,3,0.0
SZ_Air,8,remove_rule,0,3,0.0
SZ_Air,8,move_rule,0,3,0.0
SZ_Air,8,explicit_no_change,1,3,0.3333333333333333
SZ_Air,8,deterministic_rejection,0,3,0.0
SZ_Air,8,schema_fallback,0,3,0.0
SZ_Air,9,set_param,1,3,0.3333333333333333
SZ_Air,9,add_rule,0,3,0.0
SZ_Air,9,replace_rule,0,3,0.0
SZ_Air,9,remove_rule,0,3,0.0
SZ_Air,9,move_rule,0,3,0.0
SZ_Air,9,explicit_no_change,0,3,0.0
SZ_Air,9,deterministic_rejection,1,3,0.3333333333333333
SZ_Air,9,schema_fallback,1,3,0.3333333333333333
SZ_Air,10,set_param,2,3,0.6666666666666666
SZ_Air,10,add_rule,0,3,0.0
SZ_Air,10,replace_rule,0,3,0.0
SZ_Air,10,remove_rule,0,3,0.0
SZ_Air,10,move_rule,0,3,0.0
SZ_Air,10,explicit_no_change,0,3,0.0
SZ_Air,10,deterministic_rejection,1,3,0.3333333333333333
SZ_Air,10,schema_fallback,0,3,0.0
SZ_Air,11,set_param,3,3,1.0
SZ_Air,11,add_rule,0,3,0.0
SZ_Air,11,replace_rule,0,3,0.0
SZ_Air,11,remove_rule,0,3,0.0
SZ_Air,11,move_rule,0,3,0.0
SZ_Air,11,explicit_no_change,0,3,0.0
SZ_Air,11,deterministic_rejection,0,3,0.0
SZ_Air,11,schema_fallback,0,3,0.0
SZ_Air,12,set_param,1,3,0.3333333333333333
SZ_Air,12,add_rule,0,3,0.0
SZ_Air,12,replace_rule,0,3,0.0
SZ_Air,12,remove_rule,0,3,0.0
SZ_Air,12,move_rule,0,3,0.0
SZ_Air,12,explicit_no_change,0,3,0.0
SZ_Air,12,deterministic_rejection,2,3,0.6666666666666666
SZ_Air,12,schema_fallback,0,3,0.0
SZ_Air,13,set_param,1,3,0.3333333333333333
SZ_Air,13,add_rule,0,3,0.0
SZ_Air,13,replace_rule,0,3,0.0
SZ_Air,13,remove_rule,0,3,0.0
SZ_Air,13,move_rule,0,3,0.0
SZ_Air,13,explicit_no_change,0,3,0.0
SZ_Air,13,deterministic_rejection,2,3,0.6666666666666666
SZ_Air,13,schema_fallback,0,3,0.0
SZ_Air,14,set_param,0,3,0.0
SZ_Air,14,add_rule,1,3,0.3333333333333333
SZ_Air,14,replace_rule,0,3,0.0
SZ_Air,14,remove_rule,0,3,0.0
SZ_Air,14,move_rule,0,3,0.0
SZ_Air,14,explicit_no_change,0,3,0.0
SZ_Air,14,deterministic_rejection,2,3,0.6666666666666666
SZ_Air,14,schema_fallback,0,3,0.0
SZ_Air,15,set_param,0,3,0.0
SZ_Air,15,add_rule,0,3,0.0
SZ_Air,15,replace_rule,0,3,0.0
SZ_Air,15,remove_rule,0,3,0.0
SZ_Air,15,move_rule,0,3,0.0
SZ_Air,15,explicit_no_change,0,3,0.0
SZ_Air,15,deterministic_rejection,2,3,0.6666666666666666
SZ_Air,15,schema_fallback,1,3,0.3333333333333333
SZ_Air,16,set_param,0,3,0.0
SZ_Air,16,add_rule,0,3,0.0
SZ_Air,16,replace_rule,0,3,0.0
SZ_Air,16,remove_rule,0,3,0.0
SZ_Air,16,move_rule,0,3,0.0
SZ_Air,16,explicit_no_change,0,3,0.0
SZ_Air,16,deterministic_rejection,2,3,0.6666666666666666
SZ_Air,16,schema_fallback,1,3,0.3333333333333333
SZ_Air,17,set_param,0,3,0.0
SZ_Air,17,add_rule,0,3,0.0
SZ_Air,17,replace_rule,0,3,0.0
SZ_Air,17,remove_rule,0,3,0.0
SZ_Air,17,move_rule,0,3,0.0
SZ_Air,17,explicit_no_change,0,3,0.0
SZ_Air,17,deterministic_rejection,3,3,1.0
SZ_Air,17,schema_fallback,0,3,0.0
SZ_Air,18,set_param,0,3,0.0
SZ_Air,18,add_rule,0,3,0.0
SZ_Air,18,replace_rule,0,3,0.0
SZ_Air,18,remove_rule,0,3,0.0
SZ_Air,18,move_rule,0,3,0.0
SZ_Air,18,explicit_no_change,0,3,0.0
SZ_Air,18,deterministic_rejection,2,3,0.6666666666666666
SZ_Air,18,schema_fallback,1,3,0.3333333333333333
SZ_Air,19,set_param,0,3,0.0
SZ_Air,19,add_rule,0,3,0.0
SZ_Air,19,replace_rule,1,3,0.3333333333333333
SZ_Air,19,remove_rule,1,3,0.3333333333333333
SZ_Air,19,move_rule,0,3,0.0
SZ_Air,19,explicit_no_change,0,3,0.0
SZ_Air,19,deterministic_rejection,1,3,0.3333333333333333
SZ_Air,19,schema_fallback,0,3,0.0
SZ_Air,20,set_param,0,3,0.0
SZ_Air,20,add_rule,0,3,0.0
SZ_Air,20,replace_rule,0,3,0.0
SZ_Air,20,remove_rule,0,3,0.0
SZ_Air,20,move_rule,0,3,0.0
SZ_Air,20,explicit_no_change,2,3,0.6666666666666666
SZ_Air,20,deterministic_rejection,1,3,0.3333333333333333
SZ_Air,20,schema_fallback,0,3,0.0
SZ_Air,21,set_param,0,3,0.0
SZ_Air,21,add_rule,0,3,0.0
SZ_Air,21,replace_rule,1,3,0.3333333333333333
SZ_Air,21,remove_rule,0,3,0.0
SZ_Air,21,move_rule,0,3,0.0
